,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,无用1.5,无用2,手续费,无用3,无用4
44,1521,国寿安保成长优选股票,GSABCZYXGP,20.8423,,0,2016/4/1,0.926,0.926,2017/3/31,1.119,1.119,2015/12/11,1,0.15%,1,0.15%,1,1.50%
45,1577,嘉实低价策略股票,JSDJCLGP,20.7569,,0,2016/4/1,0.872,0.872,2017/3/31,1.053,1.053,2015/7/27,1,0.15%,1,0.15%,1,1.50%
46,160716,嘉实基本面50指数(LOF)A,JSJBM50ZSLOFA,20.73,,0,2016/4/1,1.0603,1.0603,2017/3/31,1.2801,1.2801,2009/12/30,1,0.12%,1,0.12%,1,1.20%
47,1632,天弘中证食品饮料ETF联接C,THZZSPYLETFLJC,20.6868,,0,2016/4/1,0.961,0.961,2017/3/31,1.1598,1.1598,2015/7/29,1,0.00%,,,,
48,409,鹏华环保产业股票,PHHBCYGP,20.4332,,0,2016/4/1,1.385,1.385,2017/3/31,1.668,1.668,2014/3/7,1,0.15%,1,0.15%,1,1.50%
49,100032,富国中证红利指数增强A,FGZZHLZSZQA,20.1175,0.3,1,2016/4/1,1.228,2.291,2017/3/31,1.156,2.547,2008/11/20,1,0.15%,1,0.15%,1,1.50%
50,163407,兴全沪深300指数(LOF)A,XQHS300ZSLOFA,20.1023,,0,2016/4/1,1.2312,1.2312,2017/3/31,1.4787,1.4787,2010/11/2,1,0.12%,1,0.12%,1,1.20%
51,1714,工银文体产业股票A,GYWTCYGPA,19.9607,,0,2016/4/1,1.017,1.017,2017/3/31,1.22,1.22,2015/12/30,1,0.15%,1,0.15%,1,1.50%
52,165312,建信央视财经50指数(LOF),JXYSCJ50ZSLOF,19.8899,,0,2016/4/1,1.2057,1.3082,2017/3/31,1.4127,1.5452,2013/3/28,1,0.12%,1,0.12%,1,1.20%
53,2334,汇丰晋信大盘波动股票A,HFJXDPBDGPA,19.7926,,0,2016/4/1,1.0029,1.0029,2017/3/31,1.2014,1.2014,2016/3/11,1,0.15%,1,0.15%,1,1.50%
54,1421,南方量化成长,NFLHCZ,19.7761,,0,2016/4/1,1.072,1.072,2017/3/31,1.284,1.284,2015/6/29,1,0.15%,1,0.15%,1,1.50%
55,2335,汇丰晋信大盘波动股票C,HFJXDPBDGPC,19.1402,,0,2016/4/1,1.0026,1.0026,2017/3/31,1.1945,1.1945,2016/3/11,1,0.00%,,,,
56,978,景顺长城量化精选股票,JSCCLHJXGP,19.1363,,0,2016/4/1,1.181,1.181,2017/3/31,1.407,1.407,2015/2/4,1,0.15%,1,0.15%,1,1.50%
57,2236,大成360互联网+大数据100A,DC360HLWDSJ100A,18.7623,,0,2016/4/1,1.018,1.018,2017/3/31,1.209,1.209,2016/2/3,1,0.12%,1,0.12%,1,1.20%
58,1616,嘉实环保低碳股票,JSHBDTGP,18.744,,0,2016/4/1,1.035,1.035,2017/3/31,1.229,1.229,2015/12/30,1,0.15%,1,0.15%,1,1.50%
59,778,鹏华先进制造股票,PHXJZZGP,18.4834,,0,2016/4/1,1.266,1.266,2017/3/31,1.5,1.5,2014/11/4,1,0.15%,1,0.15%,1,1.50%
60,159916,深F60ETF,SF60ETF,18.3223,,0,2016/4/1,2.4473,1.3334,2017/3/31,2.8957,1.5777,2011/9/8,,,,,,
61,161217,国投瑞银中证资源指数,GTRYZZZYZS,18.2927,,0,2016/4/1,0.574,0.574,2017/3/31,0.679,0.679,2011/7/21,1,0.12%,1,0.12%,1,1.20%
62,310318,申万菱信沪深300指数增强A,SWLXHS300ZSZQA,18.246,,0,2016/4/1,1.7423,2.5348,2017/3/31,2.0602,2.8527,2004/11/29,1,0.12%,1,0.12%,1,1.20%
63,1420,南方大数据300A,NFDSJ300A,18.1177,,0,2016/4/1,0.8787,0.8787,2017/3/31,1.0379,1.0379,2015/6/24,1,0.12%,1,0.12%,1,1.20%
64,90010,大成中证红利指数A,DCZZHLZSA,18.112,,0,2016/4/1,1.303,1.303,2017/3/31,1.539,1.539,2010/2/2,1,0.12%,1,0.12%,1,1.20%
65,510020,博时上证超大盘ETF,BSSZCDPETF,18.093,,0,2016/4/1,2.0483,0.7555,2017/3/31,2.4189,0.8922,2009/12/29,,,,,,
66,310398,申万菱信沪深300价值指数A,SWLXHS300JZZSA,18.0314,,0,2016/4/1,1.0942,1.0942,2017/3/31,1.2915,1.2915,2010/2/11,1,0.12%,1,0.12%,1,1.20%
67,510880,华泰柏瑞上证红利ETF,HTBRSZHLETF,17.9846,0.091,1,2016/4/1,2.415,1.814,2017/3/31,2.7548,2.0961,2006/11/17,,,,,,
68,1044,嘉实新消费股票,JSXXFGP,17.9688,,0,2016/4/1,0.896,0.896,2017/3/31,1.057,1.057,2015/3/23,1,0.15%,1,0.15%,1,1.50%
69,979,景顺长城沪港深精选股票,JSCCHGSJXGP,17.8352,,0,2016/4/1,0.813,0.813,2017/3/31,0.958,0.958,2015/4/15,6,0.15%,1,0.15%,1,1.50%
70,1426,南方大数据300C,NFDSJ300C,17.7423,,0,2016/4/1,0.877,0.877,2017/3/31,1.0326,1.0326,2015/6/24,1,0.00%,,,,
